FIPS,State,County, Food Insecure %,Limited Healthy Food Access %,Diabetes %,Obesity %,Smoking %,Uninsured %,Free/Reduced Lunch %,Median Household Income,Food Insecure Score,Access Gap Score,Diabetes Score,Obesity Score,Smoking Score,Uninsured Score,Lunch Need Score,Income Need Score,Food Need Score,Health Risk Score,Final Priority Score
27087,Minnesota,Mahnomen,15.7,16.63,13.3,44.3,26.2,10.21,77.76,"54,177",100,62.26,100,93.37,100,71.68,100,100,86.79,97.79,91.19
27089,Minnesota,Marshall,9.3,15.62,9,42.2,17.5,7.71,40.44,"69,843",34.02,58.3,30.65,81.77,49.12,43.82,35.44,79.18,50.15,53.85,51.63
27091,Minnesota,Martin,11.7,7.63,9,38,15.3,6.65,56.8,"59,843",58.76,27,30.65,58.56,36.26,32.11,63.75,92.47,54.82,41.82,49.62
27093,Minnesota,Meeker,8.9,7.82,8.8,41.1,15.7,6.88,43.35,"75,351",29.9,27.76,27.42,75.69,38.6,34.66,40.48,71.87,40.93,47.24,43.45
27095,Minnesota,Mille Lacs,11.9,2.62,9.9,42.6,19.8,7.53,46.88,"70,512",60.82,7.36,45.16,83.98,62.57,41.8,46.59,78.3,46.97,63.9,53.75
27097,Minnesota,Morrison,10.9,9.34,8.8,39.8,16,6.27,42.33,"68,639",50.52,33.7,27.42,68.51,40.35,27.84,38.72,80.78,46.31,45.43,45.96
27099,Minnesota,Mower,10.2,5.84,10.4,40.7,17,8.52,61.2,"66,578",43.3,19.97,53.23,73.48,46.2,52.9,71.36,83.52,54.21,57.64,55.58
27101,Minnesota,Murray,9,3.75,9.5,40.5,18.1,7.84,44.2,"74,801",30.93,11.8,38.71,72.38,52.63,45.27,41.95,72.6,40.51,54.57,46.13
27103,Minnesota,Nicollet,9.5,9.78,8.8,36.5,15,5.42,38.29,"74,482",36.08,35.41,27.42,50.28,34.5,18.32,31.73,73.02,38.91,37.4,38.31
27105,Minnesota,Nobles,10.6,9.89,11.3,40.7,17.9,12.76,71.57,"63,576",47.42,35.87,67.74,73.48,51.46,100,89.29,87.51,72.02,64.23,68.9
27107,Minnesota,Norman,10.1,9.18,9,37.9,16.8,7.84,52.13,"62,716",42.27,33.06,30.65,58.01,45.03,45.27,55.67,88.65,52.98,44.56,49.62
27109,Minnesota,Olmsted,8,2.45,8.7,35.4,12.6,4.74,37.64,"89,431",20.62,6.69,25.81,44.2,20.47,10.83,30.59,53.16,24.38,30.16,26.69
